Item Name,Unit,Qunatity Available,Quantity Purcahsed,Qunatity Sold,Qunatity Avaialble for sale,Valuation
8 Pin Male Socket plug,Nos,0.0,1.0,1.0,0.0,0.0
8 Pin socket(Male),Nos,10.0,31.0,21.0,10.0,300.0
9 Pin M To F cable,Nos,0.0,11.0,11.0,0.0,0.0
9V Battery terminal,Nos,50.0,73.0,23.0,50.0,125.0
"Aari 18""",Nos,0.0,1.0,1.0,0.0,0.0
ABB  YR24V DC E2.2..E6.2 -1SDA073747R1,Nos,0.0,1.0,1.0,0.0,0.0
ABB E1.2N 630 Ekip Dip LSIG 3p F F,Nos,0.0,1.0,1.0,0.0,0.0
ABB EXTENDED FRONT TERMINALS DISTANCE  -1SDA066895R1,Nos,0.0,2.0,2.0,0.0,0.0
ABB EXTENDED FRONT TERMINALS DISTANCE  -1SDA066896R1,Nos,0.0,1.0,1.0,0.0,0.0
ABB Part ME 1.2.24-30V AC/DC+MC-1SDA073715R1,Nos,1.0,3.0,2.0,1.0,14700.0
ABB YC E1.2..E6 24V AC/DC-1SDA073681R1,Nos,2.0,3.0,1.0,2.0,6590.0
ABB YO E1.2.E624 V AC/DC -1SDA073668R1,Nos,0.0,2.0,2.0,0.0,0.0
ABB YU E1.2..E6 24V AC/DC -1SDA073694R1,Nos,1.0,3.0,2.0,1.0,2660.0
ABB-SHUNT OPEN.RELEASE 24VD-1SDA038286R1,Nos,0.0,1.0,1.0,0.0,0.0
ABB-SHUNT OPENING RELEASE-1SDA054866R1,Nos,2.0,4.0,2.0,2.0,7680.0
ABB-SHUNT OPENING RELEASE-1SDA066317R1,Nos,0.0,1.0,1.0,0.0,0.0
AC Variable Frequency Drive ATV12H075M2 Schneider,NOS,0.0,1.0,1.0,0.0,0.0
Accelerator ICPL-T038-e rickshaw,Nos,0.0,1.0,1.0,0.0,0.0
Accelerator Lapox K-13.,Kgs,0.0,30.0,30.0,0.0,0.0
"Acrylic Pipe (200X10,L=600 mm)",Nos,7.0,17.0,10.0,7.0,39270.0
Acrylic Pipe (OD=150x3mm)x1mtr,Mtrs,0.0,5.0,5.0,0.0,0.0
Acrylic sheet 265x250x3 mm  Light Green Cast,pcs,45.0,80.0,35.0,45.0,7875.0
Acrylic sheet 265x250x3 mm  Transparent,pcs,28.0,78.0,50.0,28.0,3500.0
Acrylic sheet 380x380x3 mm  Transparent,pcs,0.0,12.0,12.0,0.0,0.0
Acrylic sheet 8'x4'x3mm Cast,pcs,1.0,1.0,0.0,1.0,2880.0
Activated Alumin Balls 3-5 mm,Kg,0.0,5.0,5.0,0.0,0.0
AD8610ARZ Op Amp Single Precision Amplifier ±13V 8-Pin SOIC N,Nos,0.0,100.0,100.0,0.0,0.0
"AD8620ARZ OP AMP,JFET Wide BW 8620 SOIC8",Nos,0.0,143.0,143.0,0.0,0.0
"Adapter 1/4"" to 1/4""",Nos,0.0,15.0,15.0,0.0,0.0
"Adapter 3/4"" BSP Male",Nos,5.0,12.0,7.0,5.0,800.0
"Adapter 3/4""X 1/2"" Male",Nos,1.0,7.0,6.0,1.0,160.0
"Adapter 39 mm  Long , 3/8"" BSP SS",Nos,38.0,140.0,102.0,38.0,8208.0
Adapter 39 mm Long 1BY2 to 3BY8,Nos,0.0,6.0,6.0,0.0,0.0
"Adapter 42 mm Long 1/2"" BSP",Nos,0.0,6.0,6.0,0.0,0.0
"Adapter 44 mm Long 3BY4"" to 1BY2",Nos,0.0,12.0,12.0,0.0,0.0
"Adapter 45 mm Long 3BY4"" to Pipe",Nos,0.0,8.0,8.0,0.0,0.0
"Adapter 52 mm Long 1/4"" to BSP",Nos,0.0,8.0,8.0,0.0,0.0
"Adapter terminal block, TeSys LRD, for separate mounting of LRD01-D35 LR3D01-D35,-LAD7B106",Nos,0.0,7.0,7.0,0.0,0.0
"Adapter42 mm Long,1BY2"" To Pipe SS",Nos,0.0,8.0,8.0,0.0,0.0
"Adaptor 1/2""x1/2"" BSP SS-340 Hex",Nos,0.0,0.0,0.0,0.0,0
"Adaptor 1/4""x1/4"" BSP SS-340 Hex",Nos,0.0,0.0,0.0,0.0,0
"Adaptor-1""Male-1""Female-(Brass)",Pcs,4.0,4.0,0.0,4.0,980.0
"Adaptor-1/4""-3/8""-(Brass)",Pcs,0.0,8.0,8.0,0.0,0.0
"Adopter 1/2""",Nos,0.0,67.0,67.0,0.0,0.0
"Adopter 1/2""",Nos,0.0,67.0,67.0,0.0,0.0
Adopter 12V 3 Amp,Nos,0.0,2.0,2.0,0.0,0.0
Adopter 12V 5Amp,Nos,0.0,4.0,4.0,0.0,0.0
"Adopter 3/8""",Nos,0.0,10.0,10.0,0.0,0.0
Adopter 30mm-210 mm Bosch,Nos,0.0,5.0,5.0,0.0,0.0
Adopter 6V 6 Amp,Nos,0.0,6.0,6.0,0.0,0.0
Adsive Gaskit 25X5 mm,Roll,2.0,33.0,31.0,2.0,100.0
"AG4 Carbon set for Grinder 4"", Dewalt 801",Nos,0.0,30.0,30.0,0.0,0.0
"AG4 Grinder 4"" Dewalt",Nos,0.0,2.0,2.0,0.0,0.0
Air Blower  NX40,Nos,1.0,1.0,0.0,1.0,1280.0
"Air Blower 160W 2R150S1,",Nos,0.0,10.0,10.0,0.0,0.0
"Air Blower ADB 150, 480W",Nos,0.0,6.0,6.0,0.0,0.0
Air Blower SP 150 60W,Nos,0.0,2.0,2.0,0.0,0.0
Air Bubble Roll,Pcs,0.0,4.0,4.0,0.0,0.0
Air Cooled Tig Welding Torch 200AC/DC Make : Quality (Electra Koko Tawa),Nos,0.0,0.0,0.0,0.0,0
Air Cylinder Mal-25X10 Akari,Nos,0.0,1.0,1.0,0.0,0.0
Air Pressure Meter,Nos,0.0,1.0,1.0,0.0,0.0
Air Spray Gun,Nos,1.0,8.0,7.0,1.0,2850.0
"AL Alloy Casting ,Grade: LM4",Kgs,1.0,759.06,758.06,1.0,405.0
"AL Alloy Casting Rings,Grade: LM4",Kgs,0.0,22.0,22.0,0.0,0.0
"AL Alloy Casting Rings,Grade: OD-345, ID-245 & H-62 mmLM4",Nos,0.0,6.0,6.0,0.0,0.0
Al Bush,Nos,0.0,5477.0,5477.0,0.0,0.0
Al Semi-Spherical Ball-60 mm,Nos,0.0,100.0,100.0,0.0,0.0
"Al.Rivit 1/8"" X 3/4"" POP RIVIT 1/8"" X 3/4""",Nos,680.0,4000.0,3320.0,680.0,306.0
"Al.Rivit 5/32"" X 3/4""",Nos,200.0,2145.0,1945.0,200.0,70.0
"Allen Bolt 1/2""x1/2""L-BSW",Nos,0.0,80.0,80.0,0.0,0.0
"Allen Bolt 1/4x1"" MS",Nos,0.0,200.0,200.0,0.0,0.0
"Allen Bolt 1/4x1.5"" MS",Nos,0.0,200.0,200.0,0.0,0.0
Allen Bolt 12 x20 mm-Unbrako,Nos,0.0,80.0,80.0,0.0,0.0
Allen Bolt 8X80 LPS,Nos,0.0,10.0,10.0,0.0,0.0
Allen Bolt M12X130 LPS,Nos,0.0,400.0,400.0,0.0,0.0
Allen Cap Bolt M6x35 SS,Nos,0.0,295.0,295.0,0.0,0.0
Allen Cap Bolt M6X65 SS,Nos,0.0,81.0,81.0,0.0,0.0
Allen Cap Bolt M8X20 SS,Nos,0.0,255.0,255.0,0.0,0.0
Allen Cap Bolt M8X30 SS,Nos,0.0,100.0,100.0,0.0,0.0
Allen Cap Bolt M8X40 SS,Nos,0.0,92.0,92.0,0.0,0.0
Allen Cap Bolt M8X50 SS,Nos,0.0,121.0,121.0,0.0,0.0
Allen Cap Bolt M8X60 SS,Nos,0.0,50.0,50.0,0.0,0.0
Allen Cap Bolt M8X90 SS,Nos,0.0,76.0,76.0,0.0,0.0
Allen Cap BoltM10X40 SS,Nos,0.0,56.0,56.0,0.0,0.0
Allen counter Bolt M8x25 SS,Nos,20.0,897.0,877.0,20.0,442.59999999999997
Allen Counter BoltM10X100 SS,Nos,64.0,117.0,53.0,64.0,2111.36
Allen Counter BoltM10X15 SS,Nos,260.0,328.0,68.0,260.0,2906.8
Allen Counter BoltM10X20 SS,Nos,250.0,350.0,100.0,250.0,3750.0
Allen Counter BoltM10X25 SS,Nos,264.0,758.0,494.0,264.0,2911.76
Allen Counter BoltM10X30 SS,Nos,451.0,876.0,425.0,451.0,11146.76
Allen Counter BoltM10X35 SS,Nos,105.0,228.0,123.0,105.0,2100.0
Allen Counter BoltM10X40 SS,Nos,626.0,856.0,230.0,626.0,14781.26
Allen Counter BoltM10X40 SS,Nos,626.0,856.0,230.0,626.0,14781.26
Allen Counter BoltM10X45 SS,Nos,81.0,197.0,116.0,81.0,1518.75
Allen Counter BoltM10X60 SS,Nos,103.0,250.0,147.0,103.0,2147.6
Allen Counter BoltM10X65 SS,Nos,135.0,135.0,0.0,135.0,3210.3
Allen Counter BoltM10X70 SS,Nos,178.0,210.0,32.0,178.0,5340.0
Allen Counter BoltM10X75 SS,Nos,255.0,263.0,8.0,255.0,6461.34
Allen Counter BoltM12X20 SS,Nos,31.0,192.0,161.0,31.0,732.53
Allen Counter BoltM12X25 SS,Nos,295.0,307.0,12.0,295.0,7060.8099999999995
Allen Counter BoltM12X30 SS,Nos,124.0,131.0,7.0,124.0,3039.0
Allen Counter BoltM12X35 SS,Nos,180.0,428.0,248.0,180.0,5815.8
Allen Counter BoltM12X40 SS,Nos,107.0,200.0,93.0,107.0,10143.599999999999
Allen Counter BoltM12X50 SS,Nos,119.0,137.0,18.0,119.0,4022.2
Allen Counter BoltM12X65 SS,Nos,94.0,106.0,12.0,94.0,2831.2799999999997
Allen Counter BoltM12X70 SS,Nos,130.0,130.0,0.0,130.0,3120.0
Allen Counter BoltM16X30 SS,Nos,109.0,139.0,30.0,109.0,8791.01
Allen Counter BoltM16X35 SS,Nos,0.0,120.0,120.0,0.0,0.0
Allen Counter BoltM16X65 SS,Nos,0.0,30.0,30.0,0.0,0.0
Allen Counter BoltM4X15 SS,Nos,930.0,1077.0,147.0,930.0,1478.7
Allen Counter BoltM6X10 SS,Nos,363.0,649.0,286.0,363.0,788.9399999999999
Allen Counter BoltM6X15 SS,Nos,923.0,1308.0,385.0,923.0,3027.4399999999996
Allen Counter BoltM6X20 SS,Nos,650.0,1025.0,375.0,650.0,2249.5
Allen Counter BoltM6X25 SS,Nos,0.0,373.0,373.0,0.0,0.0
Allen Counter BoltM6X30 SS,Nos,405.0,459.0,54.0,405.0,1468.44
Allen Counter BoltM6X35 SS,Nos,315.0,369.0,54.0,315.0,1325.95
Allen Counter BoltM6X40 SS,Nos,535.0,565.0,30.0,535.0,2303.01
Allen Counter BoltM8X100 SS,Nos,99.0,210.0,111.0,99.0,2072.07
Allen Counter BoltM8X125 SS,Nos,0.0,44.0,44.0,0.0,0.0
Allen Counter BoltM8X20 SS,Nos,175.0,352.0,177.0,175.0,1097.25
Allen Counter BoltM8X30 SS,Nos,264.0,300.0,36.0,264.0,2030.16
Allen Counter BoltM8X35 SS,Nos,247.0,623.0,376.0,247.0,2020.63
Allen Counter BoltM8X40 SS,Nos,96.0,532.0,436.0,96.0,768.0
Allen Counter BoltM8X60 SS,Nos,260.0,314.0,54.0,260.0,2605.2
Allen Counter BoltM8X75 SS,Nos,109.0,195.0,86.0,109.0,1817.0300000000002
Allen Counter SunkM10X15 SS,Nos,0.0,128.0,128.0,0.0,0.0
Allen Counter SunkM10X20 SS,Nos,0.0,252.0,252.0,0.0,0.0
Allen Counter SunkM10X40 SS,Nos,0.0,250.0,250.0,0.0,0.0
Allen Counter SunkM10X45 SS,Nos,0.0,282.0,282.0,0.0,0.0
Allen Counter SunkM6x15 SS,Nos,0.0,189.0,189.0,0.0,0.0
Allen Counter SunkM8X40 SS,Nos,0.0,265.0,265.0,0.0,0.0
Allen CSK Bolt 1/4x16 MS,Nos,0.0,200.0,200.0,0.0,0.0
Allen CSK Bolt 1/4x20 MS,Nos,0.0,200.0,200.0,0.0,0.0
Allen Hex Socket Bolt M6X25 SS,Nos,0.0,255.0,255.0,0.0,0.0
Allen Mushroom Head Bolt 6 x 16mm SS,Nos,0.0,140.0,140.0,0.0,0.0
Allen Set-Inches,Nos,1.0,2.0,1.0,1.0,320.0
Allen Socket Bolt M10X100 SS,Nos,16.0,150.0,134.0,16.0,660.64
Allen Socket Bolt M10X15 SS,Nos,260.0,271.0,11.0,260.0,3188.0
Allen Socket Bolt M10X20 SS,Nos,280.0,302.0,22.0,280.0,3257.0
Allen Socket Bolt M10X25 SS,Nos,62.0,672.0,610.0,62.0,2431.02
Allen Socket Bolt M10X30 SS,Nos,159.0,1177.0,1018.0,159.0,2947.224
Allen Socket Bolt M16X30 SS,Nos,42.0,262.0,220.0,42.0,2773.6800000000003
Allen Socket Bolt M4X10 SS,Nos,395.0,1315.0,920.0,395.0,829.5
Allen Socket Bolt M4X10 SS,Nos,395.0,1315.0,920.0,395.0,829.5
Allen Socket Bolt M4X12 SS,Nos,515.0,842.0,327.0,515.0,1057.2
Allen Socket Bolt M4X20 SS,Nos,285.0,545.0,260.0,285.0,581.4
Allen Socket Bolt M4X25 SS,Nos,430.0,646.0,216.0,430.0,937.4000000000001
Allen Socket Bolt M4X30 SS,Nos,586.0,1262.0,676.0,586.0,1985.74
Allen Socket Bolt M4X35 SS,Nos,544.0,1100.0,556.0,544.0,2165.12
Allen Socket Bolt M4X50 SS,Nos,374.0,827.0,453.0,374.0,2365.2799999999997
Allen Socket Bolt M4X8 SS,Nos,644.0,1971.0,1327.0,644.0,2189.2799999999997
Allen Socket Bolt M5X15 SS,Nos,1234.0,2389.0,1155.0,1234.0,5057.72
Allen Socket Bolt M5X20 SS,Nos,611.0,1325.0,714.0,611.0,2075.15
Allen Socket Bolt M5X25 SS,Nos,498.0,858.0,360.0,498.0,1952.1599999999999
Allen Socket Bolt M5X50 SS,Nos,80.0,125.0,45.0,80.0,377.59999999999997
Allen Socket Bolt M5X80 SS,Nos,200.0,351.0,151.0,200.0,4200.0
Allen Socket Bolt M6X10 SS,Nos,347.0,568.0,221.0,347.0,694.0
Allen Socket Bolt M6X15 SS,Nos,408.0,1567.0,1159.0,408.0,1676.88
Allen Socket Bolt M6X20 SS,Nos,363.0,3004.0,2641.0,363.0,1626.2400000000002
Allen Socket Bolt M6X25 SS,Nos,666.0,2576.0,1910.0,666.0,2606.58
Allen Socket Bolt M6X30 SS,Nos,851.0,1394.0,543.0,851.0,12092.710000000001
Allen Socket Bolt M6X35 SS,Nos,519.0,990.0,471.0,519.0,3198.23
Allen Socket Bolt M6X40 SS,Nos,368.0,841.0,473.0,368.0,6348.0
Allen Socket Bolt M6X45 SS,Nos,347.0,651.0,304.0,347.0,2139.18
Allen Socket Bolt M6X60 SS,Nos,116.0,377.0,261.0,116.0,2708.6000000000004
Allen Socket Bolt M6X65 SS,Nos,279.0,362.0,83.0,279.0,3466.19
Allen Socket Bolt M6X70 SS,Nos,175.0,344.0,169.0,175.0,1557.5
Allen Socket Bolt M6X80 SS,Nos,0.0,14.0,14.0,0.0,0.0
Allen Socket Bolt M6X90 SS,Nos,52.0,64.0,12.0,52.0,1461.72
Allen Socket Bolt M8X125 SS,Nos,112.0,125.0,13.0,112.0,4569.599999999999
Allen Socket Bolt M8X130 SS,Nos,40.0,90.0,50.0,40.0,1814.4999999999998
Allen Socket Bolt M8X15 SS,Nos,22.0,464.0,442.0,22.0,135.19
Allen Socket Bolt M8X150 SS,Nos,30.0,50.0,20.0,30.0,2009.4
Allen Socket Bolt M8X20 SS,Nos,208.0,1251.0,1043.0,208.0,1834.56
Allen Socket Bolt M8X25 SS,Nos,299.0,3076.0,2777.0,299.0,2927.2099999999996
