Item ID,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Taxable,Exemption Reason,Taxability Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,SKU,HSN/SAC,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,TrackSerialNumber,Track Batches,Reorder Level,Preferred Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Category Name,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type
536460000007300307,Electrolytic capacitor Radial type 4700uf/63 V,,INR 54.00,Sales,false,Keltron,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FERKE4700u05A3,85322500,,,,,INR 54.00,Materials,,Inventory Asset,false,false,,,Main Store,2.00,INR 54.00,0.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007301344,Electrolytic capacitor Radial type 4700/35 V,,INR 30.00,Sales,false,Keltron,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FERKE4700u02A3,85322500,,,,,INR 30.00,Materials,,Inventory Asset,false,false,,,Main Store,70.00,INR 30.00,119.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007302381,Electrolytic capacitor Radial type 100MFD/450 V,,INR 60.00,Sales,false,Keltron,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FERKE0100u13A3,85322500,,,,,INR 60.00,Materials,,Inventory Asset,false,false,,,Main Store,23.00,INR 60.00,23.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007303418,Electrolytic capacitor Radial type 10MFD/450 V,,INR 5.60,Sales,false,Keltron,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FERKE0010u13A3,85322500,,,,,INR 5.60,Materials,,Inventory Asset,false,false,,,Main Store,198.00,INR 5.60,170.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007304455,Electrolytic capacitor Radial type 47MFD/450 V,,INR 25.00,Sales,false,Keltron,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FERKE0047u13A3,85322500,,,,,INR 25.00,Materials,,Inventory Asset,false,false,,,Main Store,44.00,INR 25.00,35.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007305492,DC Link Capacitor 1200uF/ 1200V,,INR 3571.43,Sales,false,Cixi Anxon Electr China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FDCCA1200u21A3,85322500,,,,,INR 3571.43,Materials,,Inventory Asset,false,false,,,Main Store,24.00,INR 3571.43,52.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007306529,(HV Capacitors) Porcelein capacitor 1200pF / 400 KV,,INR 50000.00,Sales,false,Haefely,,0.00,0.00,0.00,0.00,cm,kg,true,,,goods,2,,,Active,Nos,FPOHA1200p42A4,85322500,,,,,INR 50000.00,Materials,,Inventory Asset,false,false,,,Main Store,6.00,INR 50000.00,1.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007307566,Paper capacitor 1nF/30 KV,,INR 133.94,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FPACH0001n31A5,85322500,,,,,INR 133.94,Materials,,Inventory Asset,false,false,,,Main Store,136.00,INR 133.94,0.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007308603,Paper capacitor 10nF/30 KV,,INR 310.19,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FPACH0010n31A5,85322500,,,,,INR 310.19,Materials,,Inventory Asset,false,false,,,Main Store,46.00,INR 310.19,45.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007309640,Impulse Stage Capacitor-Single Bushing 1uF/100 KV,,INR 51841.93,Sales,false,"Shenyang, China",,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FIMCH0001u37A7,85322500,,,,,INR 51841.93,Materials,,Inventory Asset,false,false,,,Main Store,6.00,INR 51841.93,13.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007310677,Impulse Stage Capacitor-Single Bushing 1uF/200 KV,,INR 206192.50,Sales,false,"Shenyang, China",,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FIMCH0001u40A7,85322500,,,,,INR 206192.50,Materials,,Inventory Asset,false,false,,,Main Store,4.00,INR 206192.50,18.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007311714,Impulse Stage Capacitor-Double Busing 1uF/200 KV,,INR 177600.50,Sales,false,"Shenyang, China",,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FIMCH0001b40A7,85322500,,,,,INR 177600.50,Materials,,Inventory Asset,false,false,,,Main Store,4.00,INR 177600.50,4.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007312751,Capacitor for Chopping gap (Power HV) 2400 PF/400 KV,,INR 146581.20,Sales,false,"Shenyang, China",,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FCHCH2400p42A9,85322500,,,,,INR 146581.20,Materials,,Inventory Asset,false,false,,,Main Store,2.00,INR 146581.20,2.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007313788,Capacitor for Chopping gap (Power HV) 3600 PF/400 KV,,INR 137484.00,Sales,false,"Shenyang, China",,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FCHCH3600p42A9,85322500,,,,,INR 137484.00,Materials,,Inventory Asset,false,false,,,Main Store,1.00,INR 137484.00,1.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007314825,"Standrad Capacitor (CSD) 1000pF,3kV",,INR 65000.00,Sales,false,Samgor india (SI),,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDSI1000p25AA,85322500,,,,,INR 65000.00,Materials,,Inventory Asset,false,false,,,Main Store,2.00,INR 65000.00,2.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007315862,"Standard Capacitor (CSD) 100PF, 12 KV",,INR 18000.00,Sales,false,Samgor india,,0.00,0.00,0.00,0.00,cm,kg,true,,,goods,2,,,Active,Nos,FSDSI0100p29AA,85322500,,,,,INR 18000.00,Materials,,Inventory Asset,false,false,,,Main Store,5.00,INR 18000.00,19.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007316899,"Standrad Capacitor (CSD) 100PF,30 KV",,INR 172137.00,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDCH0100p31AA,85322500,,,,,INR 172137.00,Materials,,Inventory Asset,false,false,,,Main Store,2.00,INR 172137.00,2.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007317936,"Standrad Capacitor (CSD) 100PF,50KV",,INR 137531.25,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDCH0100p33AA,85322500,,,,,INR 137531.25,Materials,,Inventory Asset,false,false,,,Main Store,1.00,INR 137531.25,6.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007318973,"Standrad Capacitor (CSD) 100 PF,100 KV",,INR 167048.00,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDCH0100p37AA,85322500,,,,,INR 167048.00,Materials,,Inventory Asset,false,false,,,Main Store,2.00,INR 167048.00,1.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007320010,"Standrad Capacitor (CSD)  50 PF,300 KV",,INR 609296.20,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDCH0050p41AA,85322500,,,,,INR 609296.20,Materials,,Inventory Asset,false,false,,,Main Store,1.00,INR 609296.20,0.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007321047,"Standrad Capacitor (CSD) 1000PF,50KV",,INR 124200.00,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDCH1000p33AA,85322500,,,,,INR 124200.00,Materials,,Inventory Asset,false,false,,,Main Store,1.00,INR 124200.00,1.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007322084,"Standrad Capacitor (CSD) 100PF,150KV,",,INR 299700.00,Sales,false,China,,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FSDCH0100p39AA,85322500,,,,,INR 299700.00,Materials,,Inventory Asset,false,false,,,Main Store,1.00,INR 299700.00,1.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
536460000007323121,"Capacitor Unit (CBU) 16.67kVAr,6.35kV",,INR 7192.00,Sales,false,Epcos India (EP),,0.00,0.00,0.00,0.00,,,true,,,goods,2,,,Active,Nos,FBUEP16k6728AB,85322500,,,,,INR 7192.00,Materials,,Inventory Asset,false,false,,,Main Store,25.00,INR 7192.00,25.00,false,Inventory,Capacitor,GST18,18.000000,Group,IGST18,18.000000,Simple
